Vendor,Product,Product Number,Serial Number,MAC,Software,Release Year?,Location
Moxa Nport Device,NP5110+AF8-1597,,,00:90:e8:12:52:de,,,
Moxa Nport Device,NP5110+AF8-1990,,,00:90:e8:12:54:67,,,
Moxa Nport Device,WR UNIT 1,,,00:90:e8:12:56:98,,,
Moxa Nport Device,NP5210+AF8-3487,,,00:90:e8:12:5f:dc,,,
Moxa Nport Device,NP5210+AF8-3487,,,00:90:e8:12:60:b9,,,
Moxa Nport Device,NP6150+AF8-94,,,00:90:e8:12:63:3f,,,
Moxa Nport Device,NP5230+AF8-221,,,00:90:e8:12:71:85,,,
Moxa Nport Device,5232+AC0-N+AF8-13,,,00:90:e8:12:72:ad,,,
Moxa Nport Device,5232+AC0-N+AF8-29,,,00:90:e8:12:72:bd,,,
Moxa Nport Device,5232+AC0-N+AF8-72,,,00:90:e8:12:72:e8,,,
Moxa Nport Device,5232+AC0-N+AF8-82,,,00:90:e8:12:72:f2,,,
Moxa Nport Device,5232+AC0-N+AF8-85,,,00:90:e8:12:72:f5,,,
Moxa Nport Device,5232+AC0-N+AF8-92,,,00:90:e8:12:72:fc,,,
Moxa Nport Device,NP5210+AF8-126,,,00:90:e8:12:73:e9,,,
