Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Moxa,NP5110,,00:90:e8:16:b8:a6,,,
Moxa,NP5110,,00:90:e8:16:bb:bf,,,
Moxa,NP5110,,00:90:e8:16:bd:82,,,
Moxa,NP5110,,00:90:e8:16:c2:47,,,
Moxa,NP5110,,00:90:e8:16:c3:a1,,,
Moxa,NP5110,,00:90:e8:16:c4:59,,,
Moxa,NE4110S,,00:90:e8:16:d3:bf,,,
Moxa,NP5150,,00:90:e8:16:e2:da,,,
Moxa,NP5150,,00:90:e8:16:e3:7d,,,
Moxa,NP5150,,00:90:e8:16:e4:98,,,
Moxa,NP5410,,00:90:e8:16:e9:56,,,
Moxa,NP5110,,00:90:e8:16:f5:2b,,,
Moxa,NP5110,,00:90:e8:16:f7:a8,,,
Moxa,NP5110,,00:90:e8:16:f8:a0,,,
Moxa,NP5110,,00:90:e8:16:fa:85,,,
Moxa,NP5110,,00:90:e8:16:fa:9f,,,
Moxa,NP5110,,00:90:e8:16:fb:d1,,,
Moxa,NP5110,,00:90:e8:16:fc:10,,,
Moxa,NP5110,,00:90:e8:16:fc:5b,,,
Moxa,NP5110,,00:90:e8:16:fe:1f,,,
Moxa,NP5110,,00:90:e8:17:01:de,,,
Moxa,NP5110,,00:90:e8:17:02:a2,,,
Moxa,NP5130,,00:90:e8:17:0b:a7,,,
Moxa,NP5130,,00:90:e8:17:0c:43,,,
Moxa,NP5130,,00:90:e8:17:0c:c1,,,
Moxa,NP5130,,00:90:e8:17:0c:c5,,,
Moxa,NP5150,,00:90:e8:17:1f:64,,,
Moxa,NP5130,,00:90:e8:17:46:8a,,,
Moxa,NP5130,,00:90:e8:17:46:90,,,
Moxa,NP5130,,00:90:e8:17:46:97,,,
Moxa,NP5130,,00:90:e8:17:46:98,,,
Moxa,NP5130,,00:90:e8:17:46:cc,,,
Moxa,NP5110,,00:90:e8:17:4d:43,,,
Moxa,NP5110,,00:90:e8:17:4e:97,,,
Moxa,NP5110,,00:90:e8:17:4f:1a,,,
Moxa,NP5110,,00:90:e8:17:4f:a2,,,
Moxa,NP5110,,00:90:e8:17:4f:ce,,,
Moxa,NP5110,,00:90:e8:17:4f:cf,,,
Moxa,NP5110,,00:90:e8:17:4f:d0,,,
Moxa,NP5110,,00:90:e8:17:51:a8,,,
Moxa,NP5110,,00:90:e8:17:51:b8,,,
Moxa,NP5110,,00:90:e8:17:51:d5,,,
Moxa,NP5110,,00:90:e8:17:52:bf,,,
Moxa,NE4110,,00:90:e8:17:57:c3,,,
Moxa,NE4110S,,00:90:e8:17:59:b2,,,
Moxa,NP5450,,00:90:e8:17:60:4a,,,
Moxa,NP5450,,00:90:e8:17:60:57,,,
Moxa,NP5410,,00:90:e8:17:62:77,,,
Moxa,NP5110,,00:90:e8:17:86:52,,,
Moxa,NP5110,,00:90:e8:17:86:5f,,,
Moxa,NP5110,,00:90:e8:17:8a:77,,,
Moxa,NP5110,,00:90:e8:17:8a:7a,,,
Moxa,NP5110,,00:90:e8:17:8a:83,,,
Moxa,NP5110,,00:90:e8:17:8a:86,,,
Moxa,NP5110,,00:90:e8:17:8c:5c,,,
Moxa,NP5110,,00:90:e8:17:8c:9d,,,
Moxa,NE4100T,,00:90:e8:17:a1:e6,,,
Moxa,NE4100T,,00:90:e8:17:a3:93,,,
Moxa,NE4100T,,00:90:e8:17:a3:bf,,,
Moxa,NP5110,,00:90:e8:17:a5:a2,,,
Moxa,NP5110,,00:90:e8:17:a5:f0,,,
Moxa,NP5110,,00:90:e8:17:a5:f3,,,
Moxa,NP5110,,00:90:e8:17:a5:f4,,,
Moxa,NP5110,,00:90:e8:17:a5:f5,,,
Moxa,NP5110,,00:90:e8:17:a6:14,,,
Moxa,NP5110,,00:90:e8:17:a7:bb,,,
Moxa,NP5110,,00:90:e8:17:a7:d2,,,
Moxa,NP5110,,00:90:e8:17:a7:ee,,,
